results__list_name,results__display_name,results__list_name_encoded,results__oldest_published_date,results__newest_published_date,results__updated
Combined Print and E-Book Nonfiction,Combined Print & E-Book Nonfiction,combined-print-and-e-book-nonfiction,2/13/2011,1/9/2022,WEEKLY
Culture,Culture,culture,10/12/2014,1/15/2017,MONTHLY
Hardcover Political Books,Politics and American History,hardcover-political-books,7/3/2011,1/15/2017,MONTHLY
Race and Civil Rights,Race and Civil Rights,race-and-civil-rights,12/14/2014,1/15/2017,MONTHLY
Religion Spirituality and Faith,"Religion, Spirituality and Faith",religion-spirituality-and-faith,9/7/2014,1/15/2017,MONTHLY
Science,Science,science,4/14/2013,9/15/2019,MONTHLY
