,results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
2241,1/6/2018,1/21/2018,,,13.0,1546083308,9.78155E+12,Insider accounts of the Republican presidential campaign and its outcome by two of its advisers.,LET TRUMP BE TRUMP,Corey R Lewandowski and David N Bossie
2247,1/6/2018,1/21/2018,,,14.0,316514039,9.78032E+12,The real-life story of the fight between two men after one botches the murder of the other's wife.,"MURDER, INTERRUPTED",James Patterson
2253,1/6/2018,1/21/2018,,,15.0,735213232,9.78074E+12,Major General Jackson takes on the British in Louisiana.,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS,Brian Kilmeade and Don Yaeger
2317,5/7/2011,5/22/2011,,,9.0,1401341454,9.7814E+12,Poems that inspired the former first daughter.,SHE WALKS IN BEAUTY,selected and introduced  Caroline Kennedy
2344,5/7/2011,5/22/2011,,,13.0,1594487979,9.78159E+12,"A biography of Barack Obama’s late mother, Stanley Ann Dunham, an anthropologist and development consultant, from a former New York Times reporter.",A SINGULAR WOMAN,Janny Scott
2350,5/7/2011,5/22/2011,,,14.0,307592235,9.78031E+12,"A memoir by the performer, who calls himself “a simple song-and-dance man.”",MY LUCKY LIFE IN AND OUT OF SHOW BUSINESS,Dick Van Dyke
2356,5/7/2011,5/22/2011,,,15.0,385534442,9.78039E+12,The coach of the New York Jets details the ups and downs of the N.F.L. team’s 2010 season.,PLAY LIKE YOU MEAN IT,Rex Ryan with Don Yaeger
2362,5/7/2011,5/22/2011,,,16.0,034552361X,9.78035E+12,A memoir by the actress and humanitarian.,ALL THAT IS BITTER AND SWEET,Ashley Judd with Maryanne Vollers
2368,5/7/2011,5/22/2011,,,17.0,1605292885,9.78161E+12,Schultz tells of his second stint as the C.E.O. of Starbucks and how he helped return the company to profitability.,ONWARD,Howard Schultz with Joanne Gordon
2386,5/7/2011,5/22/2011,,,20.0,1451607296,9.78145E+12,The actress offers observations on what remains important to her.,I'M OVER ALL THAT,Shirley MacLaine
2398,11/25/2017,12/10/2017,,,2.0,316512583,9.78032E+12,"More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",OBAMA,Pete Souza
2411,11/25/2017,12/10/2017,,,4.0,1538711419,9.78154E+12,How the twin daughters of former president George W. Bush grew up in the public eye.,SISTERS FIRST,Jenna Bush Hager and Barbara Pierce Bush
2430,11/25/2017,12/10/2017,,,7.0,1501111868,9.7815E+12,The New York senator's journey from his formative years to his tragic run for president.,BOBBY KENNEDY,Chris Matthews
2436,11/25/2017,12/10/2017,,,8.0,1627790640,9.78163E+12,Major events and battles during the Revolutionary War are told from several perspectives.,KILLING ENGLAND,Bill O'Reilly and Martin Dugard
2448,11/25/2017,12/10/2017,,,10.0,525562516,9.78053E+12,The British journalist recounts his meeting with the former MI6 officer Christopher Steele and makes his case for a connection between Moscow and Donald Trump.,COLLUSION,Luke Harding
2454,11/25/2017,12/10/2017,,,11.0,1524731595,9.78152E+12,A memoir by the retired astronaut and former commander of the International Space Station.,ENDURANCE,Scott Kelly
2460,11/25/2017,12/10/2017,,,12.0,1501175564,9.7815E+12,An inside look at her campaign and how she recovered in its aftermath.,WHAT HAPPENED,Hillary Clinton
2466,11/25/2017,12/10/2017,,,13.0,125003289X,9.78125E+12,A biography of the Fleetwood Mac singer Stevie Nicks.,GOLD DUST WOMAN,Stephen Davis
2478,11/25/2017,12/10/2017,,,15.0,316478512,9.78032E+12,An account of the Russian hacking of the Democratic National Committee and the fights within the party during the 2016 campaign.,HACKS,Donna Brazile
2490,8/25/2018,9/9/2018,,,2.0,198210970X,9.78198E+12,The reality TV star and former White House staffer describes her time and relationship with Donald Trump.,UNHINGED,Omarosa Manigault Newman
2496,8/25/2018,9/9/2018,,,3.0,62872745,9.78006E+12,The Fox News analyst makes his case against the F.B.I. investigation into collusion between the Trump campaign and Russia.,THE RUSSIA HOAX,Gregg Jarrett
2502,8/25/2018,9/9/2018,,,4.0,152474350X,9.78152E+12,"An investigation into the relationship between the current heads of Russia and the United States, and their potential ties to the Russian Mafia.","HOUSE OF TRUMP, HOUSE OF PUTIN",Craig Unger
2508,8/25/2018,9/9/2018,,,5.0,1250107814,9.78125E+12,A look at our biases and the argument for why the world is in a better state than we might think.,FACTFULNESS,Hans Rosling with Ola Rosling and Anna Rosling Ronnlund
2514,8/25/2018,9/9/2018,,,6.0,1546083421,9.78155E+12,The legal analyst and Fox News host argues in favor of President Trump.,"LIARS, LEAKERS AND LIBERALS",Jeanine Pirro
2520,8/25/2018,9/9/2018,,,7.0,1501187287,9.7815E+12,The podcasters present a satirical guide to American politics and culture.,THE CHAPO GUIDE TO REVOLUTION,Chapo Trap House
2537,8/25/2018,9/9/2018,,,9.0,316551244,9.78032E+12,An in-depth look at how opioid addiction affects Americans across geographic and class lines.,DOPESICK,Beth Macy
2550,8/25/2018,9/9/2018,,,11.0,1488095329,9.78149E+12,The 1859 courtroom battle in which Abraham Lincoln defended the murderer of his protégé.,LINCOLN'S LAST TRIAL,Dan Abrams and David Fisher
2568,8/25/2018,9/9/2018,,,14.0,525540083,9.78053E+12,The conservative commentator defines what she sees as liberal overreaction to President Trump and his policies.,RESISTANCE IS FUTILE!,Ann Coulter
2586,9/16/2017,10/1/2017,,,2.0,62684922,9.78006E+12,The NBC News correspondent describes her work covering the 2016 campaign of the Republican nominee for president and his behavior toward her.,UNBELIEVABLE,Katy Tur
2615,9/16/2017,10/1/2017,,,6.0,1400067219,9.7814E+12,"The politics and culture of 21st-century America are put in the context of five centuries of historical events and movements, including elements of conspiracy theories, crackpot ideas and hucksterism.",FANTASYLAND,Kurt Andersen
2621,9/16/2017,10/1/2017,,,7.0,1455540412,9.78146E+12,A memoir by the Democratic senator from Minnesota and former “Saturday Night Live” writer.,"AL FRANKEN, GIANT OF THE SENATE",Al Franken
2641,9/16/2017,10/1/2017,,,10.0,374279799,9.78037E+12,A memoir by the Russian-American Grand Slam tennis champion and Olympic medalist.,UNSTOPPABLE,Maria Sharapova with Rich Cohen
2647,9/16/2017,10/1/2017,,,11.0,1439195455,9.78144E+12,The latest research in neuroscience and psychology is used to support the assertion that Buddhist meditation and practice can lead to a deeper understanding of the world.,WHY BUDDHISM IS TRUE,Robert Wright
2726,11/22/2014,12/7/2014,,,7.0,,9.7807E+12,"A memoir of the actress’s life and her complicated relationship with her ambitious, difficult mother.",THERE WAS A LITTLE GIRL,Brooke Shields
2746,11/22/2014,12/7/2014,,,10.0,1476783896,9.78148E+12,More little-known stories from America’s past; a follow-up to “Miracles and Massacres.”,DREAMERS AND DECEIVERS,Glenn Beck with Kevin Balfe
2776,11/22/2014,12/7/2014,,,15.0,825307449,9.78083E+12,"How to help American students who are falling behind in science, technology, engineering and math education.",ONE NATION UNDER TAUGHT,Vince M Bertram
2788,11/22/2014,12/7/2014,,,17.0,052595452X,9.78053E+12,"In a follow-up to “No Easy Day,” the Navy SEAL team member Matt Bissonnette, writing pseudonymously, describes the challenges of  SEAL training and other missions in which he participated.",NO HERO,Mark Owen with Kevin Maurer
2794,11/22/2014,12/7/2014,,,18.0,038534824X,9.78039E+12,"A memoir by the comedian, actor and writer, a former member of the Monty Python troupe.",SO ANYWAY . . .,John Cleese
2806,11/22/2014,12/7/2014,,,20.0,62322842,9.78006E+12,An investigative reporter complains of harassment and intimidation by the Obama administration.,STONEWALLED,Sharyl Attkisson
2824,7/27/2019,8/11/2019,,,3.0,1451642296,9.78145E+12,"The inequality of female desire is explored through the sex lives of a homemaker, a high school student and a restaurant owner.",THREE WOMEN,Lisa Taddeo
2830,7/27/2019,8/11/2019,,,4.0,1501168681,9.7815E+12,The Pulitzer Prize-winning historian tells the story of the settling of the Northwest Territory through five main characters.,THE PIONEERS,David McCullough
2836,7/27/2019,8/11/2019,,,5.0,1982129735,9.78198E+12,Redacted findings from the special counsel’s investigation into Russian interference in the 2016 presidential election and potential obstruction of justice by the president.,THE MUELLER REPORT,with related materials  The Washington Post
2852,7/27/2019,8/11/2019,,,7.0,1476773092,9.78148E+12,The conservative commentator and radio host makes his case that the press is aligned with political ideology.,UNFREEDOM OF THE PRESS,Mark R Levin
2858,7/27/2019,8/11/2019,,,8.0,1621579832,9.78162E+12,The conservative authors give their take on the confirmation of Supreme Court Justice Brett Kavanaugh.,JUSTICE ON TRIAL,Mollie Hemingway and Carrie Severino
2881,7/27/2019,8/11/2019,,,11.0,006289644X,9.78006E+12,Politico Magazine’s chief political correspondent narrates a decade-long civil war inside the GOP and Donald Trump’s concurrent ascension.,AMERICAN CARNAGE,Tim Alberta
2887,7/27/2019,8/11/2019,,,12.0,1328663043,9.78133E+12,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb
2893,7/27/2019,8/11/2019,,,13.0,735210934,9.78074E+12,The digital world’s influence on the English language.,BECAUSE INTERNET,Gretchen McCulloch
2899,7/27/2019,8/11/2019,,,14.0,812998839,9.78081E+12,An account of the 2013-14 Ebola epidemic and the potential of more severe outbreaks in the future.,CRISIS IN THE RED ZONE,Richard Preston
2911,9/4/2021,9/19/2021,Combined Print & E-Book Nonfiction,15.0,1.0,1982159006,9.78198E+12,An investigative reporter for The Washington Post gives an account of how three successive presidents and their military commanders handled America’s invasion of Afghanistan after 9/11.,THE AFGHANISTAN PAPERS,Craig Whitlock
2917,9/4/2021,9/19/2021,,,2.0,150113597X,9.7815E+12,"The Fox News host gives his take on the Green New Deal, critical race theory and social activism.",AMERICAN MARXISM,Mark R. Levin
2929,9/4/2021,9/19/2021,,,4.0,1501183699,9.7815E+12,A collection of previously published essays from 1995 to 2016 by the Fox News host.,THE LONG SLIDE,Tucker Carlson
2935,9/4/2021,9/19/2021,,,5.0,63097621,9.78006E+12,Janny and Lien Brilleslijper from Amsterdam were sent by train to Auschwitz when the Jewish safehouse they created in the woods was discovered.,THE SISTERS OF AUSCHWITZ,Roxane van Iperen
2959,9/4/2021,9/19/2021,,,9.0,1571313567,9.78157E+12,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,BRAIDING SWEETGRASS,Robin Wall Kimmerer
2983,9/4/2021,9/19/2021,,,13.0,1984878107,9.78198E+12,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,THINK AGAIN,Adam Grant
2989,9/4/2021,9/19/2021,,,14.0,1250278457,9.78125E+12,The author of “Too Much and Never Enough” examines potential trauma caused by current and historical events.,THE RECKONING,Mary L. Trump
3030,5/11/2019,5/26/2019,,,5.0,1250313570,9.78125E+12,The philanthropist shares stories of empowering women to improve society.,THE MOMENT OF LIFT,Melinda Gates
3042,5/11/2019,5/26/2019,,,7.0,1101947861,9.7811E+12,Harper Lee’s work on the true-crime story about a rural preacher accused of murdering five of his family members in the 1970s.,FURIOUS HOURS,Casey Cep
3054,5/11/2019,5/26/2019,,,9.0,812993268,9.78081E+12,A New York Times Op-Ed columnist espouses having an outward focus to attain a meaningful life.,THE SECOND MOUNTAIN,David Brooks
3060,5/11/2019,5/26/2019,,,10.0,1538729806,9.78154E+12,Coming-of-age anecdotes set in a 1960s Midwestern summer vacation destination.,LAKE OF THE OZARKS,Bill Geist
3066,5/11/2019,5/26/2019,,,11.0,None,9.78072E+12,The late author's pursuit of a renewed faith in the community and her misgivings about organized religion.,SEARCHING FOR SUNDAY,Rachel Held Evans
3072,5/11/2019,5/26/2019,,,12.0,525511776,9.78053E+12,The comedian chronicles going into therapy and becoming an advocate for change.,LIFE WILL BE THE DEATH OF ME,Chelsea Handler
3084,5/11/2019,5/26/2019,,,14.0,1982113472,9.78198E+12,The star of “MythBusters” shares his tools for creativity.,EVERY TOOL'S A HAMMER,Adam Savage
3090,5/11/2019,5/26/2019,,,15.0,1250182328,9.78125E+12,"The former second lady’s challenges in being a mother, educator and political spouse.",WHERE THE LIGHT ENTERS,Jill Biden
3148,11/1/2014,11/16/2014,,,8.0,030748730X,9.78031E+12,An account of a naval battle during the campaign to liberate the Philippines in 1944.,THE LAST STAND OF THE TIN CAN SAILORS,James D Hornfischer
3166,11/1/2014,11/16/2014,,,11.0,804140413,9.7808E+12,"The comedian, author of “Dad Is Fat,” describes his relationship with his subject.",FOOD,Jim Gaffigan
3178,11/1/2014,11/16/2014,,,13.0,1250017645,9.78125E+12,The former first lady’s struggles after John Kennedy’s assassination.,JACQUELINE BOUVIER KENNEDY ONASSIS,Barbara Leaming
3184,11/1/2014,11/16/2014,,,14.0,385354045,9.78039E+12,The Harvard historian and New Yorker writer argues that Wonder Woman’s creator was influenced by early feminists.,THE SECRET HISTORY OF WONDER WOMAN,Jill Lepore
3196,11/1/2014,11/16/2014,,,16.0,1476775583,9.78148E+12,,THE GOOD SON,Christopher Andersen
3214,11/1/2014,11/16/2014,,,19.0,1455582433,9.78146E+12,The radio host urges true patriots to save the country  from the machinations of the left.\n,STOP THE COMING CIVIL WAR,Michael Savage
3220,11/1/2014,11/16/2014,,,20.0,385346999,9.78039E+12,The actor’s life story is structured as a Choose Your Own Adventure book.,NEIL PATRICK HARRIS: CHOOSE YOUR OWN AUTOBIOGRAPHY,Neil Patrick Harris with David Javerbaum
3244,2/19/2011,3/6/2011,,,3.0,159523067X,9.7816E+12,The former defense secretary’s memoir discusses his role in the invasion and occupation of Iraq.,KNOWN AND UNKNOWN,Donald Rumsfeld
3275,2/19/2011,3/6/2011,,,8.0,1592406122,9.78159E+12,This memoir by the Baltimore Ravens offensive tackle describes how he broke out of the tough streets of Memphis and into a world of opportunity.,I BEAT THE ODDS,Michael Oher with Don Yaeger
3294,2/19/2011,3/6/2011,,,11.0,1401324312,9.7814E+12,The race car driver’s memoir is built around the crash that killed Dale Earnhardt Sr. in 2001.,IN THE BLINK OF AN EYE,Michael Waltrip and Ellis Henican
3300,2/19/2011,3/6/2011,,,12.0,374173257,9.78037E+12,Fifty years of economic folly.,HOW THE WEST WAS LOST,Dambisa Moyo
3324,2/19/2011,3/6/2011,,,16.0,143118706,9.78014E+12,"The author of “Eat, Pray, Love” overcomes her ambivalence about marriage.",COMMITTED,Elizabeth Gilbert
3330,2/19/2011,3/6/2011,,,17.0,61997161,9.78006E+12,"The proprietor of ThePioneerWoman.com describes her marriage, or, as she puts it, her transition from “black heels to tractor wheels.”",THE PIONEER WOMAN,Ree Drummond
3336,2/19/2011,3/6/2011,,,18.0,307265633,9.78031E+12,A physicist explains various theories involving the existence of parallel universes.,THE HIDDEN REALITY,Brian Greene
3349,2/19/2011,3/6/2011,,,20.0,446538159,9.78045E+12,The former World Wrestling Entertainment champ continues the story of his career.,UNDISPUTED,Chris Jericho with Peter Thomas Fornatale
3355,11/23/2019,12/8/2019,Combined Print & E-Book Nonfiction,15.0,1.0,1538718464,9.78154E+12,A senior official in the Trump administration offers an assessment of the president and makes a moral appeal.,A WARNING,Anonymous
3361,11/23/2019,12/8/2019,,,2.0,154608603X,9.78155E+12,Forays into politics and views on liberals from the executive vice president of the Trump Organization.,TRIGGERED,Donald Trump Jr
3367,11/23/2019,12/8/2019,,,3.0,1250147603,9.78125E+12,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles.",ME,Elton John
3373,11/23/2019,12/8/2019,,,4.0,525540539,9.78053E+12,"The ""Fox & Friends” host gives an account of the battle against the Mexican Army in 1836.",SAM HOUSTON AND THE ALAMO AVENGERS,Brian Kilmeade
3399,11/23/2019,12/8/2019,,,8.0,62952390,9.78006E+12,Lessons learned by the Alboms when they bring a Haitian orphan with a life-threatening illness into their family.,FINDING CHIKA,Mitch Albom
3405,11/23/2019,12/8/2019,,,9.0,385539304,9.78039E+12,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.",THE BODY,Bill Bryson
3411,11/23/2019,12/8/2019,,,10.0,1250266556,9.78125E+12,A memoir by the former United States ambassador to the United Nations and governor of South Carolina.,WITH ALL DUE RESPECT,Nikki R Haley
3417,11/23/2019,12/8/2019,,,11.0,1546085025,9.78155E+12,A narrative is depicted from the perspective of Representative Devin Nunes.,THE PLOT AGAINST THE PRESIDENT,Lee Smith
3423,11/23/2019,12/8/2019,,,12.0,525575472,9.78053E+12,The MSNBC host argues that the global oil and gas industry has weakened democracies and bolstered authoritarians.,BLOWOUT,Rachel Maddow
3429,11/23/2019,12/8/2019,,,13.0,1586422472,9.78159E+12,"A World War II veteran works for a crime boss and comes into contact with the union boss Jimmy Hoffa. The basis of the movie ""The Irishman.""",I HEARD YOU PAINT HOUSES,Charles Brandt
3435,11/23/2019,12/8/2019,,,14.0,316349259,9.78032E+12,"The musical theater icon's second installment of her memoir describes her arrival in Hollywood, becoming a mother and her relationship with Blake Edwards.",HOME WORK,Julie Andrews and Emma Walton Hamilton
3441,11/23/2019,12/8/2019,,,15.0,1501178415,9.7815E+12,Profiles of women from around the world who have blazed trails and challenged the status quo.,THE BOOK OF GUTSY WOMEN,Hillary Rodham Clinton and Chelsea Clinton
3447,3/3/2012,3/18/2012,Combined Print & E-Book Nonfiction,15.0,1.0,,A00B0077T2BHM,"After a horrific car crash, a couple embark on a journey to fall in love all over again. The true events that inspired the movie.",THE VOW,Kim and Krickitt Carpenter with Dana Wilkerson
3511,3/3/2012,3/18/2012,,,9.0,1400067553,9.7814E+12,A journalist reports on families striving for better lives in a Mumbai slum.,BEHIND THE BEAUTIFUL FOREVERS,Katherine Boo
3517,3/3/2012,3/18/2012,,,10.0,1439187029,9.78144E+12,A woman breaks free of the Satmar Hasidic community in Brooklyn in which she was raised.,UNORTHODOX,Deborah Feldman
3523,3/3/2012,3/18/2012,,,11.0,802194761,9.7808E+12,A gossipy account of the sex lives of the stars during Hollywood’s golden age.,FULL SERVICE,Scotty Bowers with Lionel Friedberg
3535,3/3/2012,3/18/2012,,,13.0,1594203334,9.78159E+12,An American mother discovers the principles of French parenting.,BRINGING UP BÉBÉ,Pamela Druckerman
3554,3/3/2012,3/18/2012,,,16.0,1618580051,9.78162E+12,Solutions to the challenges that threaten America.,BECOMING CHINA'S BITCH,Peter D Kiernan
3560,3/3/2012,3/18/2012,,,17.0,1439173249,9.78144E+12,A talk-show host warns that Americans must choose between utopianism and liberty.,AMERITOPIA,Mark R Levin
3566,3/3/2012,3/18/2012,,,18.0,1400069106,9.7814E+12,A former White House intern recounts her affair with John F. Kennedy.,ONCE UPON A SECRET,Mimi Alford
3572,3/3/2012,3/18/2012,,,19.0,1455503126,9.78146E+12,"An examination of politics, faith and culture from a Christian perspective.",INDIVISIBLE,James Robison and Jay W Richards
3578,3/3/2012,3/18/2012,,,20.0,,A00B004SUO5JA,"An eyewitness account of the Nazi death camp, written shortly after the war by a doctor who was a prisoner there.",AUSCHWITZ,Miklos Nyiszli
3584,5/18/2019,6/2/2019,Combined Print & E-Book Nonfiction,15.0,1.0,1501194291,9.7815E+12,The radio interviewer delves into some of his favorite on-air conversations from the past four decades of his career.,HOWARD STERN COMES AGAIN,Howard Stern
3614,5/18/2019,6/2/2019,,,6.0,1627790438,9.78163E+12,The Pulitzer Prize-winning historian and journalist begins his Revolution Trilogy with events from 1775 to 1777.,THE BRITISH ARE COMING,Rick Atkinson
3632,5/18/2019,6/2/2019,,,9.0,62863150,9.78006E+12,The veteran and Republican senator from Arkansas describes the services enacted by the Army unit known as the Old Guard.,SACRED DUTY,Tom Cotton
3656,5/18/2019,6/2/2019,,,13.0,316528080,9.78032E+12,"A sportswriter handicaps the current president’s character, based on how he plays golf.",COMMANDER IN CHEAT,Rick Reilly
3704,2/4/2017,2/19/2017,,,4.0,62569031,9.78006E+12,Eisenhower’s farewell address and his role in the Kennedy transition.,THREE DAYS IN JANUARY,Bret Baier with Catherine Whitney
3722,2/4/2017,2/19/2017,,,7.0,1250135990,9.78125E+12,A frank and searing discussion of race.,TEARS WE CANNOT STOP,Michael Eric Dyson
3764,2/4/2017,2/19/2017,,,14.0,1476714843,9.78148E+12,An account of the shocking 1955 lynching presents new evidence.,THE BLOOD OF EMMETT TILL,Timothy B Tyson
3770,2/4/2017,2/19/2017,,,15.0,1476752419,9.78148E+12,An addiction memoir by a beauty editor and party girl.,HOW TO MURDER YOUR LIFE,Cat Marnell
3788,6/9/2012,6/24/2012,,,3.0,1596987774,9.7816E+12,"The talk show host’s brother, a lawyer and columnist, describes the president’s “war on the Republic.”",THE GREAT DESTROYER,David Limbaugh
3824,6/9/2012,6/24/2012,,,8.0,62135120,9.78006E+12,Rules for effective leadership from the four-star general and former secretary of state.,IT WORKED FOR ME,Colin Powell with Tony Koltz
3836,6/9/2012,6/24/2012,,,10.0,547569653,9.78055E+12,"An ultramarathon champion describes his career and his vegan diet, and offers motivation and advice to runners.",EAT AND RUN,Scott Jurek with Steve Friedman
3876,6/9/2012,6/24/2012,,,16.0,61374261,9.78006E+12,A biography of the newsman and longtime anchor of the “CBS Evening News.”,CRONKITE,Douglas Brinkley
3894,6/9/2012,6/24/2012,,,19.0,307718042,9.78031E+12,The New York Times chief Washington correspondent’s account of how President Obama has dealt with the challenges of war.,CONFRONT AND CONCEAL,David E Sanger
3908,10/20/2018,11/4/2018,Combined Print & E-Book Nonfiction,15.0,1.0,1250165547,9.78125E+12,A look at the postwar manhunt for members of Hitler’s inner circle.,KILLING THE SS,Bill O'Reilly and Martin Dugard
3914,10/20/2018,11/4/2018,,,2.0,1501183664,9.7815E+12,The Fox News anchor argues that America’s ruling class is out of touch with everyday citizens.,SHIP OF FOOLS,Tucker Carlson
3920,10/20/2018,11/4/2018,,,3.0,316421820,9.78032E+12,"The former White House photographer juxtaposes pictures of former President Obama with tweets, headlines and quotes from the Trump administration.",SHADE,Pete Souza
3926,10/20/2018,11/4/2018,,,4.0,1984819194,9.78198E+12,A collection of essays from the late scientist’s personal archive that address 10 imponderables.,BRIEF ANSWERS TO THE BIG QUESTIONS,Stephen Hawking
3932,10/20/2018,11/4/2018,,,5.0,1501184717,9.7815E+12,A memoir by the actress and host of the late-night talk show “Busy Tonight.”,THIS WILL ONLY HURT A LITTLE,Busy Philipps
3938,10/20/2018,11/4/2018,,,6.0,1501175513,9.7815E+12,"Based on hours of interviews with sources, the Pulitzer Prize-winning journalist describes debates and decision-making within the Trump White House.",FEAR,Bob Woodward
3944,10/20/2018,11/4/2018,,,7.0,1324002646,9.78132E+12,"The author of ""The Big Short"" examines how the Trump administration staffs its federal agencies.",THE FIFTH RISK,Michael Lewis
3956,10/20/2018,11/4/2018,,,9.0,307409600,9.78031E+12,How American presidents waged wars and expanded the power of the executive branch.,PRESIDENTS OF WAR,Michael Beschloss
3962,10/20/2018,11/4/2018,,,10.0,525537449,9.78053E+12,Brief explorations into finding hope and wisdom in times of despair and uncertainty.,ALMOST EVERYTHING,Anne Lamott
3968,10/20/2018,11/4/2018,,,11.0,1538763028,9.78154E+12,A memoir by the two-time Academy Award and three-time Emmy Award winner.,IN PIECES,Sally Field
3982,10/20/2018,11/4/2018,,,13.0,525426760,9.78053E+12,Important battles that led to the end of the American Revolution.,IN THE HURRICANE'S EYE,Nathaniel Philbrick
3988,10/20/2018,11/4/2018,,,14.0,1476795924,9.78148E+12,"The challenges that shaped the leadership abilities of four presidents: Abraham Lincoln, Theodore Roosevelt, Franklin D. Roosevelt and Lyndon B. Johnson.",LEADERSHIP,Doris Kearns Goodwin
3994,10/20/2018,11/4/2018,,,15.0,785221603,9.78079E+12,A memoir by the professional stock car racing driver and television sports analyst.,RACING TO THE FINISH,Dale Earnhardt Jr with Ryan McGee
4024,4/21/2012,5/6/2012,,,5.0,None,A00B007LBD71A,"Stories of the passengers in the Titanic’s lifeboat No. 8, one of the first to leave the sinking ship.",LIFEBOAT NO. 8,Elizabeth Kaye
4057,4/21/2012,5/6/2012,,,10.0,307985989,9.78031E+12,The golf coach’s memoir describes his six eventful years with Tiger Woods.,THE BIG MISS,Hank Haney
4081,4/21/2012,5/6/2012,,,13.0,307961826,9.78031E+12,"President Clinton’s secretary of labor, now a professor of public policy, urges Americans to move beyond outrage to mobilize against the increasing concentration of wealth.",BEYOND OUTRAGE,Robert B Reich
4093,4/21/2012,5/6/2012,,,15.0,1439110158,9.78144E+12,"The author of “The Know-It-All” and “The Year of Living Biblically” samples workouts, diets and gadgets in pursuit of optimal health in every organ.",DROP DEAD HEALTHY,A J Jacobs
4099,4/21/2012,5/6/2012,,,16.0,None,9.7811E+12,"A journalist's account of the life of Shin Dong-hyuk, who escaped the North Korean prison camp where he was born and raised.",ESCAPE FROM CAMP 14,Blaine Harden
4115,4/21/2012,5/6/2012,,,18.0,1455512613,9.78146E+12,"A memoir by the songwriter, singer and activist, the subject of a newly opened Broadway musical.",A NATURAL WOMAN,Carole King
4234,3/31/2012,4/15/2012,,,15.0,525952780,9.78053E+12,Dogs play an increasingly vital role in the country’s military efforts; this account emphasizes the relationship between the animals and their handlers.,SOLDIER DOGS,Maria Goodavage
4246,3/31/2012,4/15/2012,,,17.0,307377903,9.78031E+12,A psychologist argues that people make decisions based on moral intuitions.,THE RIGHTEOUS MIND,Jonathan Haidt
4272,11/14/2015,11/29/2015,Combined Print & E-Book Nonfiction,15.0,1.0,110188696X,9.7811E+12,The actress describes her life in Scientology and the aftermath of her break with the church in 2013.,TROUBLEMAKER,Leah Remini and Rebecca Paley
4278,11/14/2015,11/29/2015,,,2.0,1400067650,9.7814E+12,A biography of George H.W. Bush.,DESTINY AND POWER,Jon Meacham
4284,11/14/2015,11/29/2015,,,3.0,1627792414,9.78163E+12,The host of “The O’Reilly Factor” recounts the events surrounding the attempted assassination of President Reagan in 1981.,KILLING REAGAN,Bill O'Reilly and Martin Dugard
4302,11/14/2015,11/29/2015,,,6.0,316200603,9.78032E+12,An account of the Salem witch trials of 1692.,THE WITCHES,Stacy Schiff
4308,11/14/2015,11/29/2015,,,7.0,1501137964,9.7815E+12,The real estate developer and candidate for the Republican presidential nomination shares his ideas for making America great again.,CRIPPLED AMERICA,Donald J Trump
4322,11/14/2015,11/29/2015,,,9.0,679456201,9.78068E+12,A memoir by the feminist writer and activist is also a history of the movement.,MY LIFE ON THE ROAD,Gloria Steinem
4328,11/14/2015,11/29/2015,,,10.0,1101983795,9.7811E+12,The actress shares stories about her life.,WILDFLOWER,Drew Barrymore
4340,11/14/2015,11/29/2015,,,12.0,804138141,9.7808E+12,More personal essays from the comedian and actress.,WHY NOT ME?,Mindy Kaling
4346,11/14/2015,11/29/2015,,,13.0,055341996X,9.78055E+12,"The journalist describes how a cyberattack on the nation’s power grids could paralyze our infrastructure, warns that government has not planned for the possibility, and visits “preppers” who are taking their own precautions.",LIGHTS OUT,Ted Koppel
4352,11/14/2015,11/29/2015,,,14.0,1591848040,9.78159E+12,A discussion of the Constitution by the candidate for the Republican presidential nomination.,A MORE PERFECT UNION,Ben Carson with Candy Carson
4358,11/14/2015,11/29/2015,,,15.0,1501117696,9.7815E+12,Personal essays from the L.G.B.T.Q. YouTube personality.,BINGE,Tyler Oakley
4364,11/14/2015,11/29/2015,,,16.0,316322423,9.78032E+12,The experience of the young Pakistani advocate for women’s education who was shot by the Taliban and later won the Nobel Peace Prize. Originally published in 2013.,I AM MALALA,Malala Yousafzai with Christina Lamb
4371,11/14/2015,11/29/2015,,,17.0,1250067057,9.78125E+12,"Applying the principles of Navy SEALs leadership training to any organization. Read by the authors. 8 hours, 15 minutes unabridged.",EXTREME OWNERSHIP,Jocko Willink and Leif Babin
4385,11/14/2015,11/29/2015,,,19.0,61864536,9.78006E+12,The experience of a Polish Jewish teenager who hid from the Nazis in a bunker under a neighbor's house for 18 months. Originally published in 2009.,CLARA'S WAR,Clara Kramer and Stephen Glantz
4391,11/14/2015,11/29/2015,,,20.0,805099689,9.78081E+12,"A biography of Tom Petty by his friend Zanes, a writer and musician, also sheds light on band dynamics.",PETTY,Warren Zanes
