,results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
16011,7/21/2018,8/5/2018,,,14.0,1476755744,9.78148E+12,An American hedge fund manager in Russia is expelled by kleptocrats who then seize his property. Browder's investigation into the death of his attorney led to the Magnitsky Act.,RED NOTICE,Bill Browder
16104,8/24/2019,9/8/2019,,,13.0,1612198244,9.78161E+12,Discussions with the late chef and TV host from 2003 to 2018.,ANTHONY BOURDAIN: THE LAST INTERVIEW AND OTHER CONVERSATIONS,with an introduction  Helen Rosner
16116,8/24/2019,9/8/2019,,,15.0,None,9.78164E+12,The Fox News contributor and former federal prosecutor makes his case that the narrative of collusion between the 2016 Trump campaign and the Kremlin is a fraud.,BALL OF COLLUSION,Andrew C McCarthy
16140,9/28/2013,10/13/2013,,,4.0,805098208,9.78081E+12,The 65-year-old comedian’s reminiscences and his complaints about aging.,STILL FOOLIN' 'EM,Billy Crystal
16152,9/28/2013,10/13/2013,,,6.0,345545567,9.78035E+12,"The eccentric life of the reclusive heiress Huguette Clark, who died at the age of 104 in 2011.",EMPTY MANSIONS,Bill Dedman and Paul Clark Newell Jr
16170,9/28/2013,10/13/2013,,,9.0,,9.78031E+12,The case of a New Orleans surgeon suspected of euthanizing patients during the Katrina disaster.,FIVE DAYS AT MEMORIAL,Sheri Fink
16194,9/28/2013,10/13/2013,,,13.0,1594202273,9.78159E+12,Accidents and near misses in the management of America’s nuclear arsenal. ,COMMAND AND CONTROL,Eric Schlosser
16218,9/28/2013,10/13/2013,,,16.0,,9.78145E+12,A memoir of a young woman’s brutal kidnapping and 460-day captivity in Somalia.,A HOUSE IN THE SKY,Amanda Lindhout and Sara Corbett
16224,9/28/2013,10/13/2013,,,17.0,62225790,9.78006E+12,A memoir of the childhood and intellectual development by the evolutionary biologist (and famous atheist).,AN APPETITE FOR WONDER,Richard Dawkins
16242,9/28/2013,10/13/2013,,,20.0,345509854,9.78035E+12,Two dogs at Bedlam Farm and an unexpected journey out of darkness.,IZZY AND LENORE,Jon Katz
16303,9/9/2017,9/24/2017,,,9.0,1328771474,9.78133E+12,"The identical twins and reality TV stars trace their ascent from their upbringing in Vancouver, B.C., through personal setbacks to building careers together.",IT TAKES TWO,Jonathan Scott and Drew Scott
16309,9/9/2017,9/24/2017,,,10.0,1492649368,9.78149E+12,"A group of female factory workers get a nickname from the effects of radium paint used at their jobs. Years later, their illnesses are the grounds for a fight for workers' rights.",THE RADIUM GIRLS,Kate Moore
16392,8/31/2013,9/15/2013,,,8.0,62303996,9.78006E+12,"The story of Jodi Arias, who was convicted of murdering her boyfriend, Travis Alexander. ",EXPOSED,Jane Velez-Mitchell
16418,8/31/2013,9/15/2013,,,12.0,,A00B000YN5O2W,How Thomas rebuilt her life after her husband sustained a devastating brain injury in a car accident. Originally published in 2006.,A THREE DOG LIFE,Abigail Thomas
16467,8/31/2013,9/15/2013,,,19.0,812994868,9.78081E+12,A 13-year-old boy with autism answers questions.,THE REASON I JUMP,Naoki Higashida
16488,12/15/2018,12/30/2018,,,2.0,1984825488,9.78198E+12,"A collection of essays, speeches and unpublished writings by the late conservative columnist.",THE POINT OF IT ALL,"Charles Krauthammer,"
16547,12/15/2018,12/30/2018,,,11.0,812995546,9.78081E+12,The story of the New York band who went from performing hardcore punk music to hip hop stardom.,BEASTIE BOYS BOOK,Michael Diamond and Adam Horovitz
16553,12/15/2018,12/30/2018,,,12.0,1101980990,9.7811E+12,A biography focusing on what motivated the war leader and how he learned from his mistakes.,CHURCHILL: WALKING WITH DESTINY,Andrew Roberts
16589,4/2/2016,4/17/2016,,,3.0,312342039,9.78031E+12,"Burroughs's post-rehab social life in 1990s New York City, and its eventual happy ending.",LUST AND WONDER,Augusten Burroughs
16601,4/2/2016,4/17/2016,,,5.0,62209728,9.78006E+12,Interviews with more than 70 teenagers shed light on their experience of sexuality.,GIRLS AND SEX,Peggy Orenstein
16683,4/2/2016,4/17/2016,,,18.0,547973187,9.78055E+12,Americans who fought in and wrote about the Spanish Civil War.,SPAIN IN OUR HEARTS,Adam Hochschild
