"status","copyright","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"","","","","","","","","","","","","","","3","0","0","0","0","1101875100","9781101875100","Knopf","A meditation on art, loss and the past by the singer-songwriter, the author of the National Book Award-winning “Just Kids.”","0.00","M TRAIN","Patti Smith","by Patti Smith","","https://storage.googleapis.com/du-prd/books/images/9781101875100.jpg","323","495","http://www.amazon.com/M-Train-Patti-Smith/dp/1101875100?tag=NYTBSREV-20","","","","https://www.nytimes.com/2015/12/06/books/review/patti-smiths-m-train.html","","1101875100","9781101875100","Amazon","http://www.amazon.com/M-Train-Patti-Smith/dp/1101875100?tag=NYTBSREV-20","nyt://book/1e60512a-6509-53ea-ab90-16c5281c009c"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1101875119","9781101875117","Apple Books","https://goto.applebooks.apple/9781101875100?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1101923008","9781101923009","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781101875100",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110191016X","9781101910160","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FM%252BTRAIN%252FPatti%252BSmith%252F9781101875100&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DM%252BTRAIN%252BPatti%252BSmith",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781101875100&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DM%2BTRAIN",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781101875100%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DM%2BTRAIN%2BPatti%2BSmith%26aff%3DNYT",""
"","","","","","","","","","","","","","","4","0","0","0","0","1250038820","9781250038821","St. Martin's","Four hundred color photos of New Yorkers, with brief commentary by the author.","0.00","HUMANS OF NEW YORK","Brandon Stanton","by Brandon Stanton","","https://storage.googleapis.com/du-prd/books/images/9781250038821.jpg","330","424","http://www.amazon.com/Humans-New-York-Brandon-Stanton/dp/1250038820?tag=NYTBSREV-20","","","","","","1250038820","9781250038821","Amazon","http://www.amazon.com/Humans-New-York-Brandon-Stanton/dp/1250038820?tag=NYTBSREV-20","nyt://book/f8e8af43-e546-5167-9aa9-f3088b4ca819"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://goto.applebooks.apple/9781250038821?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250038821",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FHUMANS%252BOF%252BNEW%252BYORK%252FBrandon%252BStanton%252F9781250038821&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DHUMANS%252BOF%252BNEW%252BYORK%252BBrandon%252BStanton",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250038821&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DHUMANS%2BOF%2BNEW%2BYORK",""
