"status","copyright","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"","","","","","","","","","","","","","","3","0","0","0","0","0892969962","9780892969968","FaithWords","The pastor and author says you can determine your success or failure and your destiny with the words you use to speak about yourself.","0.00","THE POWER OF I AM","Joel Osteen","by Joel Osteen","","https://storage.googleapis.com/du-prd/books/images/9780892969968.jpg","328","495","http://www.amazon.com/The-Power-Am-Words-Change/dp/0892969962?tag=NYTBSREV-20","","","","","","0892969962","9780892969968","Amazon","http://www.amazon.com/The-Power-Am-Words-Change/dp/0892969962?tag=NYTBSREV-20","nyt://book/6625a157-3354-542f-be88-296a3d51fbef"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1609419049","9781609419042","Apple Books","https://goto.applebooks.apple/9780892969968?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1455536202","9781455536207","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780892969968",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0892969989","9780892969982","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BPOWER%252BOF%252BI%252BAM%252FJoel%252BOsteen%252F9780892969968&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BPOWER%252BOF%252BI%252BAM%252BJoel%252BOsteen",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780892969968&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BPOWER%2BOF%2BI%2BAM",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780892969968%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BPOWER%2BOF%2BI%2BAM%2BJoel%2BOsteen%26aff%3DNYT",""
"","","","","","","","","","","","","","","4","0","0","0","0","1621574156","9781621574156","Regnery","What the Old Testament reveals about the life, deeds and message of Jesus Christ.","0.00","THE EMMAUS CODE","David Limbaugh","by David Limbaugh","","https://storage.googleapis.com/du-prd/books/images/9781621574156.jpg","326","495","http://www.amazon.com/The-Emmaus-Code-Finding-Testament/dp/1621574156?tag=NYTBSREV-20","","","","","","1621574156","9781621574156","Amazon","http://www.amazon.com/The-Emmaus-Code-Finding-Testament/dp/1621574156?tag=NYTBSREV-20","nyt://book/585a18a0-1d69-5ab3-ae54-d6be949aa2c4"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1621574504","9781621574507","Apple Books","https://goto.applebooks.apple/9781621574156?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1504641523","9781504641524","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781621574156",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BEMMAUS%252BCODE%252FDavid%252BLimbaugh%252F9781621574156&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BEMMAUS%252BCODE%252BDavid%252BLimbaugh",""
