,status,copyright,num_results,results__bestsellers_date,results__published_date,results__published_date_description,results__previous_published_date,results__next_published_date,results__lists__list_id,results__lists__list_name,results__lists__list_name_encoded,results__lists__display_name,results__lists__updated,results__lists__list_image,results__lists__list_image_width,results__lists__list_image_height,results__lists__books__age_group,results__lists__books__amazon_product_url,results__lists__books__article_chapter_link,results__lists__books__author,results__lists__books__book_image,results__lists__books__book_image_width,results__lists__books__book_image_height,results__lists__books__book_review_link,results__lists__books__contributor,results__lists__books__contributor_note,results__lists__books__created_date,results__lists__books__description,results__lists__books__first_chapter_link,results__lists__books__price,results__lists__books__primary_isbn10,results__lists__books__primary_isbn13,results__lists__books__book_uri,results__lists__books__publisher,results__lists__books__rank,results__lists__books__rank_last_week,results__lists__books__sunday_review_link,results__lists__books__title,results__lists__books__updated_date,results__lists__books__weeks_on_list,results__lists__books__buy_links__name,results__lists__books__buy_links__url
102,,,,,,,,,,,,,,,,,,https://www.amazon.com/dp/0593230256?tag=NYTBSREV-20,,Isabel Wilkerson,https://storage.googleapis.com/du-prd/books/images/9780593230251.jpg,330.0,500.0,,by Isabel Wilkerson,,2021-04-07 22:13:23,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.,,0.0,0593230256,9780593230251.0,nyt://book/970c3c3d-b5b3-5cf4-bd49-fa2e441babb7,Random House,3.0,3.0,,CASTE,2021-04-07 22:17:35,35.0,Amazon,https://www.amazon.com/dp/0593230256?tag=NYTBSREV-20
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Books,https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=CASTE&author=Isabel+Wilkerson
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593230251
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FCASTE%252FIsabel%252BWilkerson%252F9780593230251&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DCASTE%252BIsabel%252BWilkerson
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bookshop,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593230251&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DCASTE
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IndieBound,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593230251%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DCASTE%2BIsabel%2BWilkerson%26aff%3DNYT
108,,,,,,,,,,,,,,,,,,https://www.amazon.com/dp/0525656766?tag=NYTBSREV-20,,Sharon Stone,https://storage.googleapis.com/du-prd/books/images/9780525656760.jpg,350.0,500.0,,by Sharon Stone,,2021-04-07 22:13:23,The actress and human rights activist recounts her childhood difficulties and biggest accomplishments.,,0.0,0525656766,9780525656760.0,nyt://book/ddc62032-fc9c-5199-b28a-2fdffb424885,Knopf,4.0,0.0,,THE BEAUTY OF LIVING TWICE,2021-04-07 22:17:35,1.0,Amazon,https://www.amazon.com/dp/0525656766?tag=NYTBSREV-20
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Books,https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+BEAUTY+OF+LIVING+TWICE&author=Sharon+Stone
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525656760
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBEAUTY%252BOF%252BLIVING%252BTWICE%252FSharon%252BStone%252F9780525656760&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBEAUTY%252BOF%252BLIVING%252BTWICE%252BSharon%252BStone
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bookshop,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525656760&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BBEAUTY%2BOF%2BLIVING%2BTWICE
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IndieBound,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525656760%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBEAUTY%2BOF%2BLIVING%2BTWICE%2BSharon%2BStone%26aff%3DNYT
114,,,,,,,,,,,,,,,,,,https://www.amazon.com/dp/1984801252?tag=NYTBSREV-20,,Glennon Doyle,https://storage.googleapis.com/du-prd/books/images/9781984801258.jpg,330.0,500.0,,by Glennon Doyle,,2021-04-07 22:13:23,The activist and public speaker describes her journey of listening to her inner voice.,,0.0,1984801252,9781984801258.0,nyt://book/fbeeab6c-34bb-5c38-8f27-9fc3ced2ff01,Dial,5.0,4.0,,UNTAMED,2021-04-07 22:17:35,56.0,Amazon,https://www.amazon.com/dp/1984801252?tag=NYTBSREV-20
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Books,https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=UNTAMED&author=Glennon+Doyle
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984801258
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Books-A-Million,https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FUNTAMED%252FGlennon%252BDoyle%252F9781984801258&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DUNTAMED%252BGlennon%252BDoyle
