,,,,,,,,,,,,,,,,,,,,The Fire This Time by Jesmyn Ward,Political Correctness Gone Mad by Jordan Peterson,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,An Indigenous Peoples' History of the United States by Roxanne Dumbar Ortiz,The Politically Incorrect Guide to the South by Clint Johnson,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,The Hate U Give by Angie Thomas,Beyond Political Correctness: are There Limits to this Lunacy by David Thibodaux,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,So You Want to Talk About Race by Jeanna Oluo,Political Correctness: A Deceptive and Dangerous Worldview by Michael William,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,You Can't Touch My Hair by Jessica Williams,The Politically Incorrect Guide to Socialism by Kevin Williamson,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Why Are All the Black Kids Sitting Together in the Cafeteria by Beverly Daniel Tatum,The Danger of Progressive Liberalism by Charles Gross,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,The Rape of the Masters: How Political Correctness Sabotages Art,,,
,,,,,,,,,,,,,,,,,,,,When She Woke by Hillary Jordan,,,,
,,,,,,,,,,,,,,,,,,,,,PC is BS by Charles Togias,,,
,,,,,,,,,,,,,,,,,,,,Why I'm No Longer Talking to White People About Race by ReniEddo-Lodge,,,,
,,,,,,,,,,,,,,,,,,,,,The Parasitic Mind: How Infectious Ideas are Killing Common Sense by Gad Saad,,,
,,,,,,,,,,,,,,,,,,,,Tears We Cannot Stop by Michael Eric Dyson,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,My First Little Book of Intersectional Activism by Titania McGrath,Rude and Politically Incorrect Jokes by Allan Peace,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Woke: A guide to Social Justice by Titania McGrath,Racial Paranoia: The Unintended Consequences of Political Correctness by ****,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Aristotle and Dante Discover the Secrets of the Universe by  Benjamin Alire Saenz,Political Correctness: The Enemy Within by Bob Smith,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,The Politically Incorrect guide to White Guilt by Anthony Tainton,,,
,,,,,,,,,,,,,,,,,,,,How to be Less Stupid About Race by Chrystal M. Fleming,,,,
,,,,,,,,,,,,,,,,,,,,,"Our Country, Our Culture by Edith Kurzweil and William Phillips",,,
,,,,,,,,,,,,,,,,,,,,White Tears by Hari Kunzru,,,,
,,,,,,,,,,,,,,,,,,,,,Politically Incorrect by George Jonas,,,
,,,,,,,,,,,,,,,,,,,,How to be an Anti-Racist by Ibram X. Kendi 9780525509288 (h) and 9780593313114 (p) 9788417925413 (ebook),,,,
,,,,,,,,,,,,,,,,,,,,,Political Correctness and the Destruction of Social Order by Howard Schwartz,,,
,,,,,,,,,,,,,,,,,,,,White Fragility  by Robin Di Angelo 9780807047415 (p) and 9780807047408 (h),,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Into The Cannibal's Pot: Lessons for America from Post-Apartheid South Africa by Ilana Mercer,,,
,,,,,,,,,,,,,,,,,,,,Between the World and Me by Ta-Nahisi Coates 9780525510307 (p)  9780812993547 (h),,,,
,,,,,,,,,,,,,,,,,,,,,Liberal Insanity: The Absurdity of Political Correctness and Racism by Liam Wolford,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,How I Escaped PC and You Can too by Loretta Graziano Breuning,,,
,,,,,,,,,,,,,,,,,,,,Books Meant for Adolescents and Younger:,,,,
,,,,,,,,,,,,,,,,,,,,,Literature Lost: Social Agenda and the Corruption of the Humanities by John Ellis,,,
,,,,,,,,,,,,,,,,,,,,"Stamped: Rascism, Anti-Rascism and You by J. Reynolds and Ibram X. Kendi  9781529114713 (p) 9781568584638 (h)",,,,
,,,,,,,,,,,,,,,,,,,,,The Killing of History by Keith Windschuttle,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Say Her Name (Poems to Empower) by Zetta Elliott 9781368045247 (not clear this is from Amazon),The Breakdown of Higher Education by John McEllis,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,The War on Psychotherapy by Christian Doyle (not quite sure what category),,,
,,,,,,,,,,,,,,,,,,,,And She Was by Jessica Verdi 9781338150537 (h) 9781338150544 (ebook),,,,
,,,,,,,,,,,,,,,,,,,,,Political Correctness and the Surgeon by Liam Kirwan,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Drag Teen by Jeffrey Self 9781338160635 (p) 9780545829939 (h),,,,
