Book Name,Author,Rating,Customers_Rated,Price,Link
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"26,322",$18.75,/Caste-Origins-Discontents-Isabel-Wilkerson/dp/0593230256/ref=zg_bsar_books_23/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"50,304",$5.51,/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bsar_books_24/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Greenlights,Matthew McConaughey,4.7 out of 5 stars,"33,743",$16.95,/Greenlights-Matthew-McConaughey/dp/0593139135/ref=zg_bsar_books_25/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
"Oh, the Places You'll Go!",Dr. Seuss,4.9 out of 5 stars,"21,281",$8.98,/Oh-Places-Youll-Dr-Seuss/dp/0679805273/ref=zg_bsar_books_26/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
The Vanishing Half: A Novel,Brit Bennett,4.4 out of 5 stars,"55,637",$16.20,/Vanishing-Half-Novel-Brit-Bennett/dp/0525536299/ref=zg_bsar_books_27/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
The Cat in the Hat,Dr. Seuss,4.9 out of 5 stars,"10,225",$5.90,/Cat-Hat-Dr-Seuss/dp/039480001X/ref=zg_bsar_books_28/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"48,394",$7.59,/Love-Languages-Secret-that-Lasts/dp/080241270X/ref=zg_bsar_books_29/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Green Eggs and Ham,Dr.Seuss,4.9 out of 5 stars,"12,098",$5.98,/Green-Eggs-Ham-Dr-Seuss/dp/0394800168/ref=zg_bsar_books_30/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,4.9 out of 5 stars,546,$15.94,/Women-Bible-Speak-Wisdom-Lessons/dp/0063046598/ref=zg_bsar_books_31/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Think Again: The Power of Knowing What You Don't Know,Adam Grant,4.6 out of 5 stars,"2,426",$16.80,/Think-Again-Power-Knowing-What/dp/1984878107/ref=zg_bsar_books_32/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Little Blue Truck's Springtime,Alice Schertle,4.8 out of 5 stars,"6,834",$6.12,/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097/ref=zg_bsar_books_33/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Dr. Nicole LePera,4.8 out of 5 stars,"1,283",$16.79,/How-Do-Work-Recognize-Patterns/dp/006301209X/ref=zg_bsar_books_34/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"28,070",$5.00,/Brown-Bear-What-You-See/dp/0805047905/ref=zg_bsar_books_35/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Firefly Lane: A Novel,Kristin Hannah,4.6 out of 5 stars,"14,893",$11.44,/Firefly-Lane-Novel-Kristin-Hannah/dp/0312537077/ref=zg_bsar_books_36/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,4.7 out of 5 stars,"17,515",$8.99,/Let-That-Sh-Go-Creating/dp/1250181909/ref=zg_bsar_books_37/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
"Dr. Seuss's Beginner Book Collection (Cat in the Hat, One Fish Two Fish, Green Eggs and Ham, Hop on Pop, Fox in Socks)",Dr. Seuss,4.9 out of 5 stars,"12,313",$29.97,/Seusss-Beginner-Collection-Green-Socks/dp/0375851569/ref=zg_bsar_books_38/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
The Step-by-Step Instant Pot Cookbook: 100 Simple Recipes for Spectacular Results -- with Photographs of Every Step,Jeffrey Eisner,4.7 out of 5 stars,"17,702",$10.78,/Step-Step-Instant-Pot-Cookbook/dp/0316460834/ref=zg_bsar_books_39/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,"128,330",$11.00,/Where-Crawdads-Sing-Delia-Owens/dp/0735219095/ref=zg_bsar_books_40/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
