Book Name,Author,Rating,Customers_Rated,Price,Link
The Last Jew of Treblinka: A Memoir,Chil Rajchman,4.7 out of 5 stars,496,$1.99 ,/Last-Jew-Treblinka-Memoir-ebook/dp/B007RJ9QLG/ref=zg_bs_157325011_21/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Brat: An '80s Story,Andrew McCarthy,5.0 out of 5 stars,3,$14.99 ,/Brat-80s-Story-Andrew-McCarthy-ebook/dp/B08HLNHZJP/ref=zg_bs_157325011_22/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6 out of 5 stars,"8,755",$8.99 ,/Habits-Highly-Effective-People-Powerful-ebook/dp/B01069X4H0/ref=zg_bs_157325011_23/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Amazon Unbound: Jeff Bezos and the Invention of a Global Empire,Brad Stone,5.0 out of 5 stars,1,$14.99 ,/Amazon-Unbound-Invention-Global-Empire-ebook/dp/B08TB1TP7H/ref=zg_bs_157325011_24/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Fossil Men: The Quest for the Oldest Skeleton and the Origins of Humankind,Kermit Pattison,4.7 out of 5 stars,263,$1.99 ,/Fossil-Men-Oldest-Skeleton-Origins-ebook/dp/B01I9BDV3Y/ref=zg_bs_157325011_25/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"Molly's Game: The True Story of the 26-Year-Old Woman Behind the Most Exclusive, High-Stakes Underground Poker Game in…",Molly Bloom,4.6 out of 5 stars,"2,031",$1.99 ,/Mollys-Game-26-Year-Old-High-Stakes-Underground-ebook/dp/B00DB32V4G/ref=zg_bs_157325011_26/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Press Reset: Ruin and Recovery in the Video Game Industry,Jason Schreier,4.0 out of 5 stars,1,$11.99 ,/Press-Reset-Recovery-Video-Industry-ebook/dp/B08HLR61MG/ref=zg_bs_157325011_27/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain…",Amy Morin,4.6 out of 5 stars,"3,604",$11.99 ,/Things-Mentally-Strong-People-Dont-ebook/dp/B00JOGB1OU/ref=zg_bs_157325011_28/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
You Deserve It: The Definitive Guide to Getting the Veteran Benefits You've Earned,Brian Reese,5.0 out of 5 stars,1,$0.99 ,/You-Deserve-Definitive-Getting-Benefits-ebook/dp/B0934R14RM/ref=zg_bs_157325011_29/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Start Where You Are: A Guide to Compassionate Living (Shambhala Classics),Pema Chödrön,4.7 out of 5 stars,720,$2.99 ,/Start-Where-You-Are-Compassionate-ebook/dp/B00BPE414Q/ref=zg_bs_157325011_30/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Comfort Food: Recipes for Classic Dishes & More (Williams-Sonoma),Rick Rodgers,4.7 out of 5 stars,33,$2.99 ,/Williams-Sonoma-Comfort-Food-Recipes-Classic-ebook/dp/B00U33YEW4/ref=zg_bs_157325011_31/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",Oprah Winfrey,4.5 out of 5 stars,295,$14.99 ,/Untitled-Flatiron-Nonfiction-Winter-9781250223180-ebook/dp/B087D5YQXB/ref=zg_bs_157325011_32/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Home Game (Vegas Aces Book 1),Lisa Suzanne,4.5 out of 5 stars,339,$0.99 ,/Home-Game-Vegas-Aces-Book-ebook/dp/B08WJR5NR6/ref=zg_bs_157325011_33/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
American Marxism,Mark R. Levin,-1,0,$14.99 ,/American-Marxism-Mark-R-Levin-ebook/dp/B0929HXWQY/ref=zg_bs_157325011_34/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,4.3 out of 5 stars,472,$14.99 ,/Bomber-Mafia-Temptation-Longest-Second-ebook/dp/B08TWKL363/ref=zg_bs_157325011_35/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Marilyn in Manhattan: Her Year of Joy,Elizabeth Winder,4.7 out of 5 stars,85,$2.99 ,/Marilyn-Manhattan-Her-Year-Joy-ebook/dp/B01KTFI8NQ/ref=zg_bs_157325011_36/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"Tears of the Silenced: An Amish True Crime Memoir of Childhood Sexual Abuse, Brutal Betrayal, and Ultimate Survival",Misty Griffin,4.6 out of 5 stars,"4,705",$0.99 ,/Tears-Silenced-Childhood-Betrayal-Ultimate-ebook/dp/B07FTQDN38/ref=zg_bs_157325011_37/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.6 out of 5 stars,"16,244",$2.99 ,/Start-Why-Leaders-Inspire-Everyone-ebook/dp/B002Q6XUE4/ref=zg_bs_157325011_38/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Pete the Cat and the Missing Cupcakes,James Dean,4.8 out of 5 stars,"3,383",$7.99 ,/Pete-Missing-Cupcakes-James-Dean-ebook/dp/B01AFXMGXU/ref=zg_bs_157325011_39/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"40,701",$12.99 ,/Atomic-Habits-Proven-Build-Break-ebook/dp/B07D23CFGR/ref=zg_bs_157325011_40/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Trading Wisdom: 50 lessons every trader should know,Cheds,4.8 out of 5 stars,17,$9.99 ,/Trading-Wisdom-lessons-trader-should-ebook/dp/B093KF37R8/ref=zg_bs_157325011_41/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"Rigged: How the Media, Big Tech, and the Democrats Seized Our Elections",Mollie Hemingway,-1,0,$14.99 ,/Rigged-Media-Democrats-Seized-Elections-ebook/dp/B09418CTHF/ref=zg_bs_157325011_42/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"How to Day Trade for a Living: A Beginner's Guide to Tools, Tactics, Money Management, Discipline and Trading Psychology…",Andrew Aziz,4.5 out of 5 stars,"2,596",$2.99 ,/How-Day-Trade-Living-Management-ebook/dp/B012C4AU10/ref=zg_bs_157325011_43/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"49,369",$7.19 ,/Rich-Dad-Poor-Teach-Middle-ebook/dp/B07C7M8SX9/ref=zg_bs_157325011_44/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
1620: A Critical Response to the 1619 Project,Peter Wood,4.7 out of 5 stars,322,$15.65 ,/1620-True-Beginning-American-Republic-ebook/dp/B083ZJM14R/ref=zg_bs_157325011_45/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Body Whispering,Dr. Dain Heer,-1,0,$2.99 ,/Body-Whispering-Dr-Dain-Heer-ebook/dp/B094477F31/ref=zg_bs_157325011_46/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Blockchain and Cryptocurrency (The Complete MBA CourseWork Series Book 2),Hicham and Mohamed Ibnalkadi,4.5 out of 5 stars,2,$0.99 ,/Blockchain-Cryptocurrency-Complete-CourseWork-Book-ebook/dp/B08NSSXF45/ref=zg_bs_157325011_47/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
Franklin Barbecue: A Meat-Smoking Manifesto [A Cookbook],Aaron Franklin,4.8 out of 5 stars,"8,210",$15.99 ,/Franklin-Barbecue-Meat-Smoking-Manifesto-Aaron-ebook/dp/B00N6PFBDW/ref=zg_bs_157325011_48/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,4.7 out of 5 stars,"2,731",$16.99 ,/Code-Breaker-Jennifer-Doudna-Editing-ebook/dp/B08G1XNG7J/ref=zg_bs_157325011_49/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals (Girl, Wash Your Face)",Rachel Hollis,4.7 out of 5 stars,"12,534",$12.99 ,/Girl-Stop-Apologizing-Shame-Free-Embracing-ebook/dp/B07DT7VJ8T/ref=zg_bs_157325011_50/132-6588331-3805550?_encoding=UTF8&psc=1&refRID=4NQK9T7QXBEE1CFCJABY
